subj.id,behavior,r.hand,l.hand,hand.score,hand.score.abs,gutt.score,dom.hand,sex
Tutu,rubbing.behavior,3,3,0,0,0,amb,m
Ali,food.pounding,1,0,1,1,0.2,r,m
Babosa,food.pounding,4,2,0.333333333,0.333333333,0.2,r,m
Belanda,food.pounding,39,0,1,1,0.2,r,m
Kal,food.pounding,6,0,1,1,0.2,r,m
Lady_boy,food.pounding,1,1,0,0,0.2,amb,m
Pat,food.pounding,0,1,-1,1,0.2,l,m
Ted,food.pounding,0,9,-1,1,0.2,l,m
Tin_tin,food.pounding,1,0,1,1,0.2,r,m
Tutu,food.pounding,4,0,1,1,0.2,r,m
Ali,food.washing,6,0,1,1,0.4,r,m
Babosa,food.washing,0,11,-1,1,0.4,l,m
Belanda,food.washing,1,15,-0.875,0.875,0.4,l,m
Kal,food.washing,26,0,1,1,0.4,r,m
Pat,food.washing,24,5,0.655172414,0.655172414,0.4,r,m
Ted,food.washing,0,4,-1,1,0.4,l,m
Ali,nut.cracking,3,0,1,1,0.6,r,m
Bat,nut.cracking,4,0,1,1,0.6,r,m
Belanda,nut.cracking,2,0,1,1,0.6,r,m
Boss,nut.cracking,19,0,1,1,0.6,r,m
Kal,nut.cracking,13,0,1,1,0.6,r,m
Pat,nut.cracking,5,0,1,1,0.6,r,m
Ted,nut.cracking,12,0,1,1,0.6,r,m
Who,nut.cracking,0,1,-1,1,0.6,l,m
Ali,oyster.processing,114,0,1,1,0.8,r,m
Babosa,oyster.processing,495,384,0.126279863,0.126279863,0.8,r,m
Bat,oyster.processing,285,0,1,1,0.8,r,m
Belanda,oyster.processing,11,0,1,1,0.8,r,m
Kal,oyster.processing,206,0,1,1,0.8,r,m
Pat,oyster.processing,129,0,1,1,0.8,r,m
Rambo,oyster.processing,0,3,-1,1,0.8,l,m
Ted,oyster.processing,247,0,1,1,0.8,r,m
Tin_tin,oyster.processing,41,0,1,1,0.8,r,m
Tutu,oyster.processing,359,2,0.988919668,0.988919668,0.8,r,m
