subj.id,focal.id.old,uni.id,date,time,gutt.score,right.hand,left.hand,both.hands,total
Harley,153,103,2024.05.16,NA,0.8,0,43,0,43
Jim_lim,147,104,2024.05.16,NA,0.8,0,48,0,48
Lip,154,105,2024.05.16,NA,0.8,0,50,0,50
Pinky,151,106,2024.05.16,NA,0.8,15,0,0,15
Ted,145,107,2024.05.16,NA,0.8,4,0,0,4
Tin_tin,150,108,2024.05.16,NA,0.8,32,0,0,32
Vula,146,109,2024.05.16,NA,0.8,0,45,0,45
Whitney,148,110,2024.05.16,NA,0.8,57,0,0,57
Dandi,158,111,2024.05.17,NA,0.8,0,9,0,9
Iyla,162,112,2024.05.17,NA,0.8,27,0,0,27
Kaya,159,113,2024.05.17,NA,0.8,0,63,0,63
Quindoline,161,114,2024.05.17,NA,0.8,47,0,0,47
Quindoline,161,115,2024.05.17,NA,0.2,1,0,0,1
Santa,160,116,2024.05.17,NA,0.8,0,69,0,69
Aura,171,117,2024.05.20,NA,0.8,95,0,0,95
Granny,166,118,2024.05.20,NA,0,23,11,3,37
Harley,173,119,2024.05.20,NA,0.8,0,76,0,76
Iyla,164,120,2024.05.20,NA,0,3,1,3,7
Jim_lim,163,121,2024.05.20,NA,0,16,4,0,20
Pinky,167,122,2024.05.20,NA,0,0,0,1,1
Quindoline,174,123,2024.05.20,NA,0.8,84,0,0,84
Robin,176,124,2024.05.20,NA,0.8,0,74,0,74
Taipan,170,125,2024.05.20,NA,0.8,59,0,0,59
Vula,165,126,2024.05.20,NA,0,1,3,0,4
Whitney,172,127,2024.05.20,NA,0.8,70,0,0,70
Yaiko,175,128,2024.05.20,NA,0.8,81,0,0,81
Pat,177,129,2024.05.21,NA,0,5,1,0,6
Bat,187,130,2024.05.23,NA,0.8,63,0,0,63
Jim_lim,184,131,2024.05.23,NA,0.8,0,63,0,63
Kaya,183,132,2024.05.23,NA,0.8,0,48,0,48
Oreo,186,133,2024.05.23,NA,0.8,0,61,0,61
Santa,185,134,2024.05.23,NA,0.8,0,58,0,58
Cacao,188,135,2024.05.26,NA,0.8,35,0,0,35
Taipan,189,136,2024.05.26,NA,0.8,110,0,0,110
Aura,196,137,2024.05.28,NA,0.8,46,0,0,46
Harley,197,138,2024.05.28,NA,0.8,0,15,0,15
Lip,193,139,2024.05.28,NA,0.8,0,61,0,61
Ali,29,140,2024.06.04,NA,0.8,15,0,0,15
Dandi,30,141,2024.06.04,NA,0.8,0,8,0,8
Iyla,31,142,2024.06.04,NA,0.8,38,0,0,38
Naina,231,143,2024.06.05,14:52:18,0.6,0,1,0,1
Flame,375,144,2024.06.08,NA,0.8,0,77,0,77
Granny,385,145,2024.06.08,NA,0.8,0,48,0,48
Harley,376,146,2024.06.08,NA,0.8,0,40,0,40
Pinky,384,147,2024.06.08,NA,0.8,23,0,0,23
Robin,379,148,2024.06.08,NA,0.8,0,1,0,1
Santa,386,149,2024.06.08,NA,0.8,0,65,0,65
Yaiko,378,150,2024.06.08,NA,0.8,39,0,0,39
Aura,585,151,2024.06.09,NA,0.8,28,0,0,28
Dandi,573,152,2024.06.09,NA,0.8,0,3,0,3
Lip,572,153,2024.06.09,NA,0.8,0,11,0,11
Lip,572,154,2024.06.09,NA,0.2,0,1,0,1
Naina,583,155,2024.06.09,NA,0.8,0,40,0,40
