uni.id,focal.id.old,date,time,subj.id,gutt.score,behavior,success,right.hand,left.hand,both.hands,total,species,comments
24,693,2024.01.11,,Dandi,0.2,food.pounding,Y,0,1,0,2,clam,
25,695,2024.02.11,,Belanda,0.2,food.pounding,Y,1,0,0,3,clam,
25,695,2024.02.11,,Belanda,0.2,food.pounding,Y,1,0,0,3,clam,
25,695,2024.02.11,,Belanda,0.2,food.pounding,Y,1,0,0,3,clam,
26,707,2024.02.11,,Robin,0.2,food.pounding,Y,0,1,0,15,clam,
26,707,2024.02.11,,Robin,0.2,food.pounding,Y,0,1,0,15,clam,
26,707,2024.02.11,,Robin,0.2,food.pounding,Y,0,1,0,15,clam,
26,707,2024.02.11,,Robin,0.2,food.pounding,Y,0,1,0,15,clam,
26,707,2024.02.11,,Robin,0.2,food.pounding,Y,0,1,0,15,clam,
26,707,2024.02.11,,Robin,0.2,food.pounding,Y,0,1,0,15,clam,
26,707,2024.02.11,,Robin,0.2,food.pounding,Y,0,1,0,15,clam,
26,707,2024.02.11,,Robin,0.2,food.pounding,Y,0,1,0,15,clam,
26,707,2024.02.11,,Robin,0.2,food.pounding,Y,0,1,0,15,clam,
26,707,2024.02.11,,Robin,0.2,food.pounding,Y,0,1,0,15,clam,
26,707,2024.02.11,,Robin,0.2,food.pounding,Y,0,1,0,15,clam,
26,707,2024.02.11,,Robin,0.2,food.pounding,Y,0,1,0,15,clam,
26,707,2024.02.11,,Robin,0.2,food.pounding,Y,0,1,0,15,clam,
26,707,2024.02.11,,Robin,0.2,food.pounding,Y,0,1,0,15,clam,
26,707,2024.02.11,,Robin,0.2,food.pounding,Y,0,1,0,15,clam,
27,709,2024.04.11,,Granny,0.2,food.pounding,Y,0,1,0,4,clam,
27,709,2024.04.11,,Granny,0.2,food.pounding,Y,0,1,0,4,clam,
27,709,2024.04.11,,Granny,0.2,food.pounding,Y,0,1,0,4,clam,
27,709,2024.04.11,,Granny,0.2,food.pounding,Y,0,1,0,4,clam,
28,712,2024.04.11,,Robin,0.2,food.pounding,Y,0,1,0,2,clam,
28,712,2024.04.11,,Robin,0.2,food.pounding,Y,0,1,0,2,clam,
29,721,2024.04.11,,Yaiko,0.2,food.pounding,Y,1,0,0,3,clam,
29,721,2024.04.11,,Yaiko,0.2,food.pounding,Y,1,0,0,3,clam,
29,721,2024.04.11,,Yaiko,0.2,food.pounding,Y,1,0,0,3,clam,
30,722,2024.04.11,,Dandi,0.2,food.pounding,Y,0,1,0,7,clam,
30,722,2024.04.11,,Dandi,0.2,food.pounding,Y,0,1,0,7,clam,
30,722,2024.04.11,,Dandi,0.2,food.pounding,Y,0,1,0,7,clam,
30,722,2024.04.11,,Dandi,0.2,food.pounding,Y,0,1,0,7,clam,
30,722,2024.04.11,,Dandi,0.2,food.pounding,Y,0,1,0,7,clam,
