subj.id,focal.id.old,date,time,gutt.score,right.hand,left.hand,both.hands,total,comments
Quindoline,174,2024.05.20,,0.8,84,0,0,84,
Yaiko,175,2024.05.20,,0.8,81,0,0,81,
Robin,176,2024.05.20,,0.8,0,74,0,74,
Pat,177,2024.05.21,,0,5,1,0,6,
Kaya,183,2024.05.23,,0.8,0,48,0,48,
Jim_lim,184,2024.05.23,,0.8,0,63,0,63,
Santa,185,2024.05.23,,0.8,0,58,0,58,
Oreo,186,2024.05.23,,0.8,0,61,0,61,
Bat,187,2024.05.23,,0.8,63,0,0,63,
Cacao,188,2024.05.26,,0.8,35,0,0,35,
Taipan,189,2024.05.26,,0.8,110,0,0,110,
Lip,193,2024.05.28,,0.8,0,61,0,61,
Aura,196,2024.05.28,,0.8,46,0,0,46,
Harley,197,2024.05.28,,0.8,0,15,0,15,
Naina,231,2024.06.05,14:52:18,0.6,0,1,0,1,
Harley,232,2024.05.06,,0.8,0,49,0,49,
Lip,233,2024.05.06,,0.8,0,51,0,51,
Pinky,234,2024.05.06,,0.8,87,0,0,87,
Taipan,235,2024.10.06,,0.8,67,0,0,67,
Oreo,236,2024.10.06,,0.8,0,29,0,29,
Cacao,237,2024.10.06,,0.8,80,0,0,80,
Vula,238,2024.10.06,,0.8,0,128,0,128,
Iyla,239,2024.10.06,,0.8,3,0,0,3,
Ted,240,2024.10.06,,0.8,29,0,0,29,
Dandi,244,2024.10.06,,0.8,0,20,0,20,
Robin,245,2024.10.06,,0.8,0,57,0,57,
Jim_lim,246,2024.10.06,,0.8,0,19,0,19,
Flame,247,2024.11.06,,0.8,0,33,0,33,
Quindoline,248,2024.11.06,,0.8,103,0,0,103,
Lip,256,2024.12.06,,0.8,0,71,0,71,
Aura,257,2024.12.06,,0.8,37,0,0,37,
Cacao,258,2024.12.06,,0.8,46,0,0,46,
Iyla,259,2024.12.06,,0.8,6,0,0,6,
Taipan,260,2024.12.06,,0.8,50,0,0,50,
Harley,261,2024.06.14,,0.8,0,65,0,65,
Aura,262,2024.06.14,,0.8,105,0,0,105,
Belanda,263,2024.06.14,,0.8,5,0,0,5,
Cacao,264,2024.06.14,,0.8,18,0,0,18,
Vula,265,2024.06.14,,0.8,0,12,0,12,
Robin,266,2024.06.14,,0.8,0,10,0,10,
Quindoline,268,2024.06.14,12:59:56,0.6,1,0,0,1,
Kaya,271,2024.06.15,,0.8,0,93,0,93,
Yaiko,272,2024.06.15,,0.8,24,0,0,24,
Whitney,273,2024.06.15,,0.8,62,0,0,62,
Lip,274,2024.06.15,,0.8,0,112,0,112,
Tutu,275,2024.06.15,,0.8,83,1,0,84,
Pinky,276,2024.06.15,,0.8,10,0,0,10,
Vula,278,2024.06.17,,0.8,0,66,0,66,
Aura,279,2024.06.17,,0.8,62,0,0,62,
Santa,280,2024.06.17,,0.8,0,48,0,48,
Harley,281,2024.06.17,,0.8,0,52,0,52,
Flame,282,2024.06.17,,0.8,0,47,0,47,
Dandi,283,2024.06.17,,0.8,0,1,0,1,
Naina,284,2024.06.17,,0.8,0,40,0,40,
Iyla,285,2024.06.17,,0.8,68,0,0,68,
Whitney,287,2024.06.17,,0.8,62,0,0,62,
Kaya,288,2024.06.17,,0.8,0,10,0,10,
Lip,289,2024.06.18,,0.8,0,54,0,54,
Quindoline,290,2024.06.18,,0.8,71,3,0,74,
Quindoline,290,2024.06.18,12:52:47,0.6,1,0,0,1,
